word,article,raw
ab,,ab
aber,,aber
abfahren,,abfahren
Abfahrt,die,die Abfahrt
abgeben,,abgeben
abholen,,abholen
Absender,der,der Absender
Achtung,,Achtung
Adresse,die,"die Adresse,-en"
all-,,all-
allein,,allein
also,,also
alt,,alt
Alter,das,das Alter
an,,an
anbieten,,anbieten
Angebot,das,"das Angebot, -e"
ander-,,ander-
anfangen,,anfangen
Anfang,der,der Anfang
anklicken,,anklicken
ankommen,,ankommen
Ankunft,die,die Ankunft
ankreuzen,,ankreuzen
anmachen,,anmachen
anmelden,,(sich) anmelden
Anmeldung,die,die Anmeldung
Anrede,die,die Anrede
anrufen,,anrufen
Anruf,der,"der Anruf, -e"
Anruf-,der,der Anruf-
beantworter,,beantworter
Ansage,die,"die Ansage, -n"
Anschluss,der,der Anschluss
an sein,,an sein
antworten,,antworten
Antwort,die,"die Antwort, -en"
Anzeige,die,"die Anzeige, -n"
anziehen,,(sich) anziehen
Apartment,das,"das Apartment, -s"
Apfel,der,"der Apfel, -Ä"
Appetit,der,der Appetit
arbeiten,,arbeiten
Arbeit,die,"die Arbeit, -en"
arbeitslos,,arbeitslos
Arbeitsplatz,der,"der Arbeitsplatz, -ä, e"
Arm,der,"der Arm, -e"
Arzt,der,"der Arzt, -Ä, e"
auch,,auch
auf,,auf
Aufgabe,die,"die Aufgabe, -n"
aufhören,,aufhören
auf sein,,auf sein
aufstehen,,aufstehen
Aufzug,der,"der Aufzug, -ü, e"
Auge,das,"das Auge, -n"
aus,,aus
Ausflug,der,der Ausflug
ausfüllen,,ausfüllen
Ausgang,der,der Ausgang
Auskunft,die,"die Auskunft, -ü, e"
Ausland,das,das Ausland
Ausländer,der,"der Ausländer, -"
ausländisch,,ausländisch
ausmachen,,ausmachen
Aussage,die,"die Aussage, -n"
aussehen,,aussehen
aus sein,,aus sein
aussteigen,,aussteigen
Ausweis,der,der Ausweis
ausziehen,,(sich) ausziehen
Auto,das,"das Auto, -s"
Autobahn,die,"die Autobahn, -en"
Automat,der,der Automat
automatisch,,automatisch
Baby,das,"das Baby, -s"
Bäckerei,die,die Bäckerei
Bad,das,das Bad
baden,,baden
Bahn,die,die Bahn
Bahnhof,der,der Bahnhof
Bahnsteig,der,der Bahnsteig
bald,,bald
Balkon,der,der Balkon
Banane,die,"die Banane, -n"
Bank,die,die Bank
bar,,bar
Bauch,der,der Bauch
Baum,der,"der Baum, -ä, e"
Beamte,der,"der Beamte, -n"
bedeuten,,bedeuten
beginnen,,beginnen
bei,,bei
beide,,beide
Bein,das,"das Bein, -e"
Beispiel,das,"das Beispiel, -e"
zum Beispiel/z. B.,,zum Beispiel/z. B.
bekannt,,bekannt
Bekannte,der/die,"der/die Bekannte, -n"
bekommen,,bekommen
benutzen,,benutzen
Beruf,der,"der Beruf, -e"
besetzt,,besetzt
besichtigen,,besichtigen
besser,,besser
best-,,best-
bestellen,,bestellen
besuchen,,besuchen
Bett,das,"das Bett, -en"
bezahlen,,bezahlen
Bier,das,das Bier
Bild,das,"das Bild, -er"
billig,,billig
Birne,die,"die Birne, -n"
bis,,bis
bisschen,,bisschen
bitte,,bitte
Bitte,die,"die Bitte, -n"
bitten,,bitten
bitter,,bitter
bleiben,,bleiben
Bleistift,der,"der Bleistift, -e"
Blick,der,der Blick
Blume,die,"die Blume, -n"
Bogen,der,der Bogen
böse,,böse
brauchen,,brauchen
breit,,breit
Brief,der,"der Brief, -e"
Briefmarke,die,"die Briefmarke, -n"
bringen,,bringen
Brot,das,"das Brot, -e"
Brötchen,das,"das Brötchen, –"
Bruder,der,"der Bruder, -ü"
Buch,das,"das Buch, -ü, er"
Buchstabe,der,"der Buchstabe, -n"
buchstabieren,,buchstabieren
Bus,der,"der Bus, -se"
Butter,die,die Butter
Café,das,"das Café, -s"
CD,die,"die CD, -s"
Chef,der,der Chef
circa/ca.,,circa/ca.
Computer,der,"der Computer, –"
da,,da
Dame,die,"die Dame, -n"
daneben,,daneben
danken,,danken
Dank,der,der Dank
danke,,danke
dann,,dann
Datum,das,das Datum
dauern,,dauern
dein-,,dein-
denn,,denn
der,,"der, die, das"
dich,,dich
dies-,,dies-
dir,,dir
Disco,die,die Disco
Doktor,der,der Doktor
Doppelzimmer,das,das Doppelzimmer
Dorf,das,"das Dorf, -ö, er"
dort,,"dort, -her, -hin"
draußen,,draußen
