word,article,raw
drucken,,drucken
Drucker,der,"der Drucker, –"
drücken,,drücken
durch,,durch
Durchsage,die,"die Durchsage, -n"
dürfen,,dürfen
Durst,der,der Durst
duschen,,(sich) duschen
Dusche,die,die Dusche
Ecke,die,"die Ecke, -n"
Ehefrau,die,"die Ehefrau, -en/der Ehemann, ä, er"
Ei,das,"das Ei, -er"
eilig,,eilig
ein-,,ein-
einfach,,einfach
Eingang,der,der Eingang
einkaufen,,einkaufen
einladen,,einladen
Einladung,die,die Einladung
einmal,,einmal
einsteigen,,einsteigen
Eintritt,der,der Eintritt
Einzelzimmer,das,das Einzelzimmer
Eltern,die,die Eltern (pl.)
E-Mail,die,"die E-Mail, -s"
Empfänger,der,"der Empfänger, –"
empfehlen,,empfehlen
enden,,enden
Ende,das,das Ende
entschuldigen,,entschuldigen
Entschuldigung,die,die Entschuldigung
er,,er
Ergebnis,das,"das Ergebnis, -se"
erklären,,erklären
erlauben,,erlauben
Erwachsene,der,"der Erwachsene, -n"
erzählen,,erzählen
es,,es
essen,,essen
Essen,das,das Essen
euer,,euer
fahren,,fahren
Fahrer,der,der Fahrer
Fahrkarte,die,"die Fahrkarte, -n"
Fahrrad,das,"das Fahrrad, -ä, er"
falsch,,falsch
Familie,die,"die Familie, -n"
Familienname,der,der Familienname
Familienstand,der,der Familienstand
Farbe,die,"die Farbe, -n"
Fax,das,"das Fax, -e"
Feier-,,Feier-
feiern,,feiern
fehlen,,fehlen
Fehler,der,"der Fehler, –"
fernsehen,,fernsehen
fertig,,fertig
Feuer,das,das Feuer
Fieber,das,das Fieber
Film,der,"der Film, -e"
finden,,finden
Firma,die,die Firma
Fisch,der,"der Fisch, -e"
Flasche,die,"die Flasche, -n"
Fleisch,das,das Fleisch
fliegen,,fliegen
abfliegen,,abfliegen
Abflug,der,der Abflug
Flughafen,der,der Flughafen
Flugzeug,das,das Flugzeug
Formular,das,"das Formular, -e"
Foto,das,"das Foto, -s"
fragen,,fragen
Frage,die,"die Frage, -n"
Frau,die,"die Frau, -en"
frei,,frei
Freizeit,die,die Freizeit
fremd,,fremd
freuen,,(sich) freuen
Freund,der,"der Freund, -e"
früher,,früher
frühstücken,,frühstücken
Frühstück,das,das Frühstück
Führung,die,die Führung
für,,für
Fuß,der,"der Fuß, -ü, e"
Fußball,der,der Fußball
Garten,der,der Garten
Gast,der,"der Gast, -ä, e"
geben,,geben
geboren,,geboren
Geburtsjahr,das,das Geburtsjahr
Geburtsort,der,der Geburtsort
Geburtstag,der,der Geburtstag
gefallen,,gefallen
gegen,,gegen
gehen,,gehen
gehören,,gehören
Geld,das,das Geld
Gemüse,das,das Gemüse
Gepäck,das,das Gepäck
gerade,,gerade
geradeaus,,geradeaus
gern,,gern(e)
gerne,,gern(e)
Geschäft,das,"das Geschäft, -e"
Geschenk,das,"das Geschenk, -e"
Geschwister,die,die Geschwister (pl.)
Gespräch,das,"das Gespräch, -e"
gestern,,gestern
gestorben,,gestorben
Getränk,das,"das Getränk, -e"
Gewicht,das,das Gewicht
gewinnen,,gewinnen
Glas,das,"das Glas, -ä, er"
glauben,,glauben
gleich,,gleich
Gleis,das,"das Gleis, -e"
Glück,das,das Glück
glücklich,,glücklich
Glückwunsch,der,der Glückwunsch
Grad,,Grad (Celsius)
gratulieren,,gratulieren
grillen,,grillen
groß,,groß
Größe,die,die Größe
Großeltern,die,die Großeltern (pl.)
Großmutter,die,die Großmutter
Großvater,der,der Großvater
Gruppe,die,"die Gruppe, -n"
Gruß,der,"der Gruß, -ü, e"
gültig,,gültig
günstig,,günstig
gut,,gut
Haar,das,"das Haar, -e"
haben,,haben
Hähnchen,das,"das Hähnchen, -"
Halbpension,die,die Halbpension
Halle,die,die Halle
hallo,,hallo
halten,,halten
Haltestelle,die,die Haltestelle
Hand,die,"die Hand, -ä, e"
Handy,das,"das Handy, -s"
Haus,das,"das Haus, -ä, er"
Hausaufgabe,die,"die Hausaufgabe,-n"
Hausfrau,die,"die Hausfrau, -en/der Hausmann"
Heimat,die,die Heimat
heiraten,,heiraten
heißen,,heißen
helfen,,helfen
hell,,hell
Herd,der,der Herd
Herr,der,"der Herr, -en"
herzlich,,herzlich
heute,,heute
hier,,hier
Hilfe,die,die Hilfe
hinten,,hinten
Hobby,das,"das Hobby, -s"
hoch,,hoch
Hochzeit,die,die Hochzeit
holen,,holen
hören,,hören
Hotel,das,"das Hotel, -s"
Hund,der,"der Hund, -e"
Hunger,der,der Hunger
ich,,ich
ihr/ihm/ihn,,ihr/ihm/ihn
immer,,immer
in,,in
Information,die,"die Information, -en"
international,,international
Internet,das,das Internet
ja,,ja
Jacke,die,"die Jacke, -n"
jed-,,jed-
jetzt,,jetzt
Job,der,"der Job, -s"
Jugendliche,der,"der Jugendliche, -n"
jung,,jung
Junge,der,"der Junge, -n"
Kaffee,der,der Kaffee
kaputt,,kaputt
Karte,die,"die Karte, -n"
-Karte,,"(Kredit)-Karte, -n"
Kredit-Karte,,"(Kredit)-Karte, -n"
Kartoffel,die,"die Kartoffel, -n"
Kasse,die,die Kasse
kaufen,,kaufen
kein,,kein
kennen,,kennen
kennenlernen,,kennenlernen
Kind,das,"das Kind, -er"
Kindergarten,der,der Kindergarten
Kino,das,"das Kino, -s"
Kiosk,der,der Kiosk
klar,,klar
Klasse,die,die Klasse
Kleidung,die,die Kleidung
klein,,klein
kochen,,kochen
Koffer,der,"der Koffer, –"
Kollege,der,"der Kollege, -n"
kommen,,kommen
können,,können
Konto,das,das Konto
Kopf,der,der Kopf
kosten,,kosten
krank,,krank
kriegen,,kriegen
Küche,die,die Küche
Kuchen,der,der Kuchen
Kugelschreiber,der,der Kugelschreiber
Kühlschrank,der,der Kühlschrank
kulturell,,kulturell
sich kümmern,,sich kümmern
Kunde,der,"der Kunde, -n"
Kurs,der,"der Kurs, -e"
kurz,,kurz
lachen,,lachen
Laden,der,"der Laden, -ä"
Land,das,"das Land, -ä, er"
lang,,lang
lange,,lange
langsam,,langsam
laufen,,laufen
laut,,laut
leben,,leben
Leben,das,das Leben
Lebensmittel,die,die Lebensmittel (pl.)
ledig,,ledig
legen,,legen
Lehrer,der,"der Lehrer, –"
leicht,,leicht
leider,,leider
leise,,leise
lernen,,lernen
lesen,,lesen
letztdie Leute,,letztdie Leute (pl.)
Licht,das,das Licht
lieb-,,lieb-
lieben,,lieben
lieber,,lieber
Lieblings-,,Lieblings-
Lied,das,"das Lied, -er"
liegen,,liegen
links,,links
Lkw,der,"der Lkw, -s"
Lokal,das,das Lokal
Lösung,die,"die Lösung, -en"
lustig,,lustig
machen,,machen
Mädchen,das,"das Mädchen, –"
man,,man
Mann,der,"der Mann, -ä, er"
männlich,,männlich
Maschine,die,"die Maschine, -n"
Meer,das,das Meer
mehr,,mehr
mein,,mein
meist-,,meist-
Mensch,der,"der Mensch, -en"
mieten,,mieten
Miete,die,die Miete
Milch,die,die Milch
mit,,mit
mitbringen,,mitbringen
mitkommen,,mitkommen
mitmachen,,mitmachen
mitnehmen,,mitnehmen
Mitte,die,die Mitte
Möbel,die,die Möbel (pl.)
möchten,,möchten
mögen,,mögen
möglich,,möglich
Moment,der,der Moment
morgen,,morgen
müde,,müde
Mund,der,der Mund
müssen,,müssen
Mutter,die,"die Mutter, -ü"
nach,,nach
nächst-,,nächst-
Name,der,"der Name, -n"
nehmen,,nehmen
nein,,nein
neu,,neu
nicht,,nicht
nichts,,nichts
nie,,nie
noch,,noch
normal,,normal
Nummer,die,"die Nummer, -n"
nur,,nur
oben,,oben
Obst,das,das Obst
oder,,oder
öffnen,,öffnen
geöffnet,,geöffnet
oft,,oft
ohne,,ohne
Öl,das,das Öl
Oma,die,"die Oma, -s"
Opa,der,"der Opa, -s"
Ordnung,die,die Ordnung
Ort,der,"der Ort, -e"
Papier,das,das Papier
Papiere,die,die Papiere (pl.)
Partner,der,"der Partner, -/die Partnerin, -nen"
Party,die,die Party
Pass,der,"der Pass, -ä, e"
Pause,die,"die Pause, -n"
Plan,der,"der Plan, -ä, e"
Platz,der,"der Platz, -ä, e"
Polizei,die,die Polizei
Pommes frites,die,die Pommes frites (pl.)
Post,die,die Post
Postleitzahl,die,die Postleitzahl
Praktikum,das,das Praktikum
Praxis,die,die Praxis
Preis,der,"der Preis, -e"
Problem,das,"das Problem, -e"
Prospekt,der,"der Prospekt, -e"
Prüfung,die,die Prüfung
pünktlich,,pünktlich
Rad fahren,,Rad fahren
rauchen,,rauchen
Raum,der,"der Raum, -ä, e"
Rechnung,die,"die Rechnung, -en"
rechts,,rechts
regnen,,regnen
Regen,der,der Regen
Reis,der,der Reis
reisen,,reisen
Reise,die,die Reise
Reisebüro,das,"das Reisebüro, -s"
Reiseführer,der,der Reiseführer
reparieren,,reparieren
Reparatur,die,die Reparatur
Restaurant,das,"das Restaurant, -s"
Rezeption,die,die Rezeption
richtig,,richtig
riechen,,riechen
ruhig,,ruhig
Saft,der,der Saft
sagen,,sagen
Salat,der,der Salat
Salz,das,das Salz
Satz,,"Satz, -ä, e"
S-Bahn,die,die S-Bahn
Schalter,der,der Schalter
scheinen,,scheinen
schicken,,schicken
Schild,das,"das Schild, -er"
Schinken,der,"der Schinken, –"
schlafen,,schlafen
schlecht,,schlecht
schließen,,schließen
geschlossen,,geschlossen
Schluss,der,der Schluss
Schlüssel,der,"der Schlüssel, –"
schmecken,,schmecken
schnell,,schnell
schon,,schon
schön,,schön
Schrank,der,"der Schrank, -ä, e"
schreiben,,schreiben
Schuh,der,"der Schuh, -e"
Schule,die,die Schule
Schüler,der,"der Schüler, –"
schwer,,schwer
Schwester,die,"die Schwester, -n"
schwimmen,,schwimmen
Schwimmbad,das,das Schwimmbad
See,der,der See
sehen,,sehen
Sehenswürdigkeit,die,"die Sehenswürdigkeit,"
sehr,,sehr
sein,,sein
weg sein,,weg sein
zu sein,,zu sein
seit,,seit
selbstständig,,selbstständig
sich,,sich
sie,,sie
sitzen,,sitzen
so,,so
Sofa,das,das Sofa
sofort,,sofort
Sohn,der,"der Sohn, -ö, e"
sollen,,sollen
Sonne,die,die Sonne
spät,,spät
später,,später
Speisekarte,die,die Speisekarte
spielen,,spielen
Sport,der,der Sport
Sprache,die,"die Sprache, -n"
sprechen,,sprechen
Stadt,die,"die Stadt, -ä, e"
stehen,,stehen
Stelle,die,"die Stelle, -n"
stellen,,stellen
Stock,der,der Stock
Straße,die,"die Straße, -n"
Straßenbahn,die,die Straßenbahn
studieren,,studieren
Studium,das,das Studium
Student,der,"der Student, -en"
Stunde,die,"die Stunde, -n"
suchen,,suchen
tanzen,,tanzen
Tasche,die,"die Tasche, -n"
Taxi,das,"das Taxi, -s"
Tee,der,der Tee
Teil,der,"der Teil, -e"
telefonieren,,telefonieren
Telefon,das,das Telefon
Termin,der,"der Termin, -e"
Test,der,der Test
teuer,,teuer
Text,der,"der Text, -e"
Thema,das,das Thema
Ticket,das,"das Ticket, -s"
Tisch,der,"der Tisch, -e"
Tochter,die,"die Tochter, -ö"
Toilette,die,"die Toilette, -en"
Tomate,die,"die Tomate, -n"
tot,,tot
treffen,,(sich) treffen
Treppe,die,"die Treppe, -n"
trinken,,trinken
tschüss,,tschüss
tun,,tun
über,,über
übernachten,,übernachten
überweisen,,überweisen
Uhr,die,die Uhr
um,,um
umziehen,,umziehen
und,,und
unser-,,unser-
unten,,unten
unter,,unter
Unterricht,der,der Unterricht
unterschreiben,,unterschreiben
Unterschrift,die,die Unterschrift
Urlaub,der,der Urlaub
Vater,der,"der Vater, -ä"
verboten,,verboten
verdienen,,verdienen
Verein,der,der Verein
verheiratet,,verheiratet
verkaufen,,verkaufen
Verkäufer,der,"der Verkäufer, –"
vermieten,,vermieten
Vermieter,der,der Vermieter
verstehen,,verstehen
Verwandte,der,"der Verwandte, -n"
viel,,viel
vielleicht,,vielleicht
von,,von
vor,,vor
Vorname,der,"der Vorname, -n"
Vorsicht,die,die Vorsicht
vorstellen,,(sich) vorstellen
Vorwahl,die,die Vorwahl
wandern,,wandern
wann,,wann
warten,,warten
warum,,warum
was,,was
was für ein,,was für ein
waschen,,(sich) waschen
Wasser,das,das Wasser
weh tun,,weh tun
weiblich,,weiblich
Wein,der,der Wein
weit,,weit
weiter,,weiter
welch-,,welch-
Welt,die,die Welt
wenig,,wenig
wer,,wer
werden,,werden
Wetter,das,das Wetter
wichtig,,wichtig
wie,,wie
wiederholen,,wiederholen
Wiederhören,das,das Wiederhören
Wiedersehen,das,das Wiedersehen
wie viel,,wie viel
willkommen,,willkommen
Wind,der,der Wind
wir,,wir
wissen,,wissen
wo,,wo
woher,,woher
wohin,,wohin
wohnen,,wohnen
Wohnung,die,"die Wohnung, -en"
wollen,,wollen
Wort,das,"das Wort, -ö, er/-e"
wunderbar,,wunderbar
zahlen,,zahlen
Zeit,die,die Zeit
zurzeit,,zurzeit
Zeitung,die,"die Zeitung, -en"
Zigarette,die,"die Zigarette, -n"
Zimmer,das,"das Zimmer, –"
Zoll,der,der Zoll
zu,,zu
zufrieden,,zufrieden
Zug,der,"der Zug, -ü, e"
zurück,,zurück
zusammen,,zusammen
zwischen,,zwischen
